"clone_subgroup_id","gex_annotation","N","mean_SHM","median_SHM","sd_SHM"
"1000_1","IgD+ve Memory",4,0.0357142857142857,0.0335276967930029,0.0126802607878522
"1001_1","IgD+ve Memory",1,0.0029585798816568,0.0029585798816568,NA
"1002_1","IgD+ve Memory",1,0,0,NA
"1003_1","IgD+ve Memory",1,0.033033033033033,0.033033033033033,NA
"1004_1","Cell-Cycling",1,0.0445103857566766,0.0445103857566766,NA
"1005_1","IgD+ve Memory",1,0.0335365853658537,0.0335365853658537,NA
"1006_1","IgD+ve Memory",1,0.0269461077844311,0.0269461077844311,NA
"1007_1","ASC 2",1,0.0120481927710843,0.0120481927710843,NA
"1008_1","Cell-Cycling",1,0,0,NA
"1009_1","NAIVE 2",1,0,0,NA
"100_1","ASC 2",1,0.0350877192982456,0.0350877192982456,NA
"1010_1","Early-Activation",1,0.126506024096386,0.126506024096386,NA
"1011_1","ASC 2",1,0.0429799426934097,0.0429799426934097,NA
"1012_1","IgD-ve Memory",1,0.0267857142857143,0.0267857142857143,NA
"1013_1","DN2",1,0,0,NA
"1014_1","IgD+ve Memory",2,0.105740181268882,0.105740181268882,0.0170901941072277
"1014_2","IgD+ve Memory",1,0.0513595166163142,0.0513595166163142,NA
"1015_1","Cell-Cycling",1,0.0060790273556231,0.0060790273556231,NA
"1016_1","ASC 2",1,0.0950920245398773,0.0950920245398773,NA
"1016_2","NAIVE 2",1,0.104294478527607,0.104294478527607,NA
"1017_1","IgD+ve Memory",1,0.117469879518072,0.117469879518072,NA
"1018_1","IgD+ve Memory",2,0.0244648318042813,0.0244648318042813,0
"1018_1","IgD-ve Memory",1,0.0214067278287462,0.0214067278287462,NA
"1018_1","NAIVE 1",1,0.018348623853211,0.018348623853211,NA
"1018_2","IgD+ve Memory",1,0.0428134556574924,0.0428134556574924,NA
"1019_1","NAIVE 2",1,0,0,NA
"101_1","IgD-ve Memory",1,0.0147058823529412,0.0147058823529412,NA
"1020_1","IgD-ve Memory",1,0.0479041916167665,0.0479041916167665,NA
"1021_1","IgD+ve Memory",1,0.00900900900900901,0.00900900900900901,NA
"1022_1","NAIVE 1",1,0.00307692307692308,0.00307692307692308,NA
"1023_1","NAIVE 1",1,0.0382352941176471,0.0382352941176471,NA
"1024_1","NAIVE 2",1,0,0,NA
