"clone_subgroup_id","status","file_png","file_pdf","error"
"1844_1","saved","/data/heavy_light/tree/dowser_tree_1844_1.png","/data/heavy_light/tree/dowser_tree_1844_1.pdf",NA
"1222_1","saved","/data/heavy_light/tree/dowser_tree_1222_1.png","/data/heavy_light/tree/dowser_tree_1222_1.pdf",NA
"1386_1","saved","/data/heavy_light/tree/dowser_tree_1386_1.png","/data/heavy_light/tree/dowser_tree_1386_1.pdf",NA
"898_1","saved","/data/heavy_light/tree/dowser_tree_898_1.png","/data/heavy_light/tree/dowser_tree_898_1.pdf",NA
"1446_1","saved","/data/heavy_light/tree/dowser_tree_1446_1.png","/data/heavy_light/tree/dowser_tree_1446_1.pdf",NA
"502_1","saved","/data/heavy_light/tree/dowser_tree_502_1.png","/data/heavy_light/tree/dowser_tree_502_1.pdf",NA
"514_1","saved","/data/heavy_light/tree/dowser_tree_514_1.png","/data/heavy_light/tree/dowser_tree_514_1.pdf",NA
"1042_1","saved","/data/heavy_light/tree/dowser_tree_1042_1.png","/data/heavy_light/tree/dowser_tree_1042_1.pdf",NA
"1081_1","saved","/data/heavy_light/tree/dowser_tree_1081_1.png","/data/heavy_light/tree/dowser_tree_1081_1.pdf",NA
"1557_1","saved","/data/heavy_light/tree/dowser_tree_1557_1.png","/data/heavy_light/tree/dowser_tree_1557_1.pdf",NA
"501_1","saved","/data/heavy_light/tree/dowser_tree_501_1.png","/data/heavy_light/tree/dowser_tree_501_1.pdf",NA
"1659_1","saved","/data/heavy_light/tree/dowser_tree_1659_1.png","/data/heavy_light/tree/dowser_tree_1659_1.pdf",NA
"404_1","saved","/data/heavy_light/tree/dowser_tree_404_1.png","/data/heavy_light/tree/dowser_tree_404_1.pdf",NA
"1029_1","saved","/data/heavy_light/tree/dowser_tree_1029_1.png","/data/heavy_light/tree/dowser_tree_1029_1.pdf",NA
"1540_1","saved","/data/heavy_light/tree/dowser_tree_1540_1.png","/data/heavy_light/tree/dowser_tree_1540_1.pdf",NA
"343_1","saved","/data/heavy_light/tree/dowser_tree_343_1.png","/data/heavy_light/tree/dowser_tree_343_1.pdf",NA
"1816_1","saved","/data/heavy_light/tree/dowser_tree_1816_1.png","/data/heavy_light/tree/dowser_tree_1816_1.pdf",NA
