"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.605822553853511,0.988,0.937,0,"0","RPL35A"
0,0.662624662434622,0.992,0.945,0,"0","RPS18"
0,0.737293298884905,0.991,0.946,0,"0","RPS3"
0,0.633672000642811,0.989,0.945,0,"0","RPL14"
0,0.677383144794187,0.993,0.949,0,"0","RPS14"
0,0.587795757450976,0.992,0.948,0,"0","RPS4X"
0,0.675160558923033,0.994,0.952,0,"0","RPS23"
0,0.612575539551971,0.995,0.953,0,"0","RPS15A"
0,0.627381041392663,0.994,0.953,0,"0","RPL39"
0,0.590558946946042,0.996,0.957,0,"0","RPL32"
0,0.641202339782604,0.998,0.959,0,"0","RPL30"
0,0.627428498460274,0.995,0.956,0,"0","RPS28"
0,0.651645810830103,0.998,0.96,0,"0","RPL34"
0,0.582941018744188,0.995,0.959,0,"0","RPS27A"
0,0.640569570695812,0.996,0.961,0,"0","RPL11"
0,0.631681995775807,0.992,0.957,0,"0","RPS3A"
0,0.701222184100998,0.996,0.965,0,"0","RPS12"
0,0.608320498722831,0.997,0.969,0,"0","RPS8"
0,0.621274078057393,0.997,0.976,0,"0","RPL10"
0,0.523390330405711,0.999,0.98,0,"0","RPL41"
0,0.642286202090481,0.999,0.985,0,"0","EEF1A1"
1.03259719980821e-320,0.708940044491011,0.975,0.905,2.13210669816398e-316,"0","EEF1B2"
2.47329262308128e-320,0.569735766166997,0.994,0.957,5.10685460813823e-316,"0","RPL19"
2.10437380533162e-318,0.587610363467289,0.992,0.945,4.34511103324873e-314,"0","RPS13"
7.89560379831146e-317,0.575613109176171,0.99,0.955,1.63028427227535e-312,"0","RPS2"
2.50671052828693e-300,0.553212473580612,0.991,0.949,5.17585589880685e-296,"0","RPL8"
7.37207528498174e-295,0.537554919134029,0.994,0.952,1.52218610484303e-290,"0","FAU"
1.1005361841036e-294,0.53894069597597,0.994,0.952,2.27238711293711e-290,"0","RPL18"
4.99261062832104e-288,0.566809668757852,0.989,0.94,1.03087424253573e-283,"0","RPS21"
7.97550553166597e-285,0.613389147333481,0.982,0.927,1.64678238217839e-280,"0","RPL3"
1.78820240181961e-283,0.557169884006703,0.994,0.948,3.69228031927713e-279,"0","RPLP2"
2.31226719299905e-282,0.652698348451053,0.971,0.898,4.77436930010443e-278,"0","RPL36A"
2.42406336776725e-279,0.603163997812041,0.981,0.923,5.00520604176582e-275,"0","RPL5"
5.62614149926251e-276,0.536066709379133,0.998,0.967,1.16168569676772e-271,"0","RPS27"
1.09566180544461e-271,0.523489564285278,0.993,0.945,2.26232249588204e-267,"0","RPL7A"
1.43182993416343e-271,0.567285333321297,0.988,0.933,2.95644244806066e-267,"0","RPL26"
1.07101517212127e-264,0.574187005855326,0.986,0.935,2.211432127396e-260,"0","RPS6"
1.77423457744649e-260,0.47405172687676,0.997,0.974,3.6634395555115e-256,"0","RPLP1"
6.69138731779735e-260,0.624500025520119,0.976,0.903,1.3816376533788e-255,"0","RPSA"
8.7484998854355e-241,0.501934237436091,0.991,0.945,1.80639025634472e-236,"0","RPS15"
1.12212844126639e-240,0.570881684714346,0.977,0.915,2.31697080552684e-236,"0","RPL9"
2.46121718573171e-240,0.545149190056054,0.986,0.933,5.08192124509883e-236,"0","RPS25"
1.21985154324982e-238,0.50441608490057,0.993,0.955,2.51874946650223e-234,"0","RPL12"
1.38340312363211e-237,0.495370293389714,0.991,0.947,2.85645076967559e-233,"0","RPS26"
2.73394180261191e-235,0.477675148970416,0.994,0.962,5.64504303403307e-231,"0","TPT1"
3.24068395184391e-234,0.477433003068373,0.997,0.964,6.69136422376732e-230,"0","RPL28"
3.2913468195409e-229,0.53603359894234,0.983,0.924,6.79597291298805e-225,"0","RPL36"
3.18169017663033e-224,0.485401602586762,0.989,0.941,6.56955387670631e-220,"0","RPL29"
1.54972440096406e-223,0.493756859410182,0.993,0.946,3.19987094311059e-219,"0","RPL37"
1.78362544555207e-222,0.538751837049079,0.978,0.924,3.68282981997592e-218,"0","RPL17"
1.2385052787943e-217,0.527645939861022,0.988,0.937,2.55726569965447e-213,"0","RPL13A"
3.36457162729113e-217,0.556260013947812,0.972,0.905,6.94716749603073e-213,"0","NACA"
2.43626327256375e-215,0.501575356428549,0.988,0.942,5.03039640518963e-211,"0","RPS24"
9.26624288733793e-212,0.494207381098781,0.99,0.944,1.91329383137754e-207,"0","RPS7"
1.94376900264927e-211,0.584191756348839,0.961,0.893,4.01349423667022e-207,"0","RPL38"
8.86375644211731e-208,0.494231902269852,0.98,0.925,1.83018843016838e-203,"0","RPS5"
8.83648941079473e-207,0.545138231591704,0.967,0.91,1.8245583335409e-202,"0","RPL22"
1.57883869749791e-202,0.520918540941414,0.988,0.925,3.25998614259369e-198,"0","RPS29"
2.38324969431505e-200,0.607201600900116,0.938,0.854,4.92093396882171e-196,"0","RPL7"
3.6201341658134e-199,0.532894103754937,0.966,0.909,7.4748530255715e-195,"0","RPL24"
4.2230399970841e-196,0.503664880474879,0.984,0.926,8.71973298597924e-192,"0","RPL21"
6.39704085170141e-194,0.508488741088533,0.969,0.913,1.32086099505931e-189,"0","RACK1"
4.88746266989681e-184,0.441621092299578,0.996,0.96,1.00916329208029e-179,"0","RPL13"
7.73570977731189e-182,0.603141385191912,0.936,0.857,1.59726935481936e-177,"0","RPL31"
2.56947798777808e-177,0.701800789794576,0.876,0.771,5.30545814916418e-173,"0","TOMM7"
3.72323265153916e-168,0.499820642140726,0.966,0.903,7.68773077889806e-164,"0","RPL10A"
9.66483301723387e-167,0.651422358714256,0.99,0.961,1.99559472139845e-162,"0","FTH1"
5.67816212483221e-165,0.474701612353943,0.965,0.912,1.17242691553535e-160,"0","RPS16"
1.10362308228012e-163,0.474842944465719,0.973,0.908,2.27876094029199e-159,"0","RPS9"
1.85627232853165e-163,0.535153870909501,0.934,0.869,3.83283110395215e-159,"0","EEF1G"
2.07568992344958e-159,0.575713569889319,0.921,0.835,4.28588455393869e-155,"0","RPS20"
6.15272048402364e-156,0.467740466604558,0.972,0.913,1.2704137255412e-151,"0","RPL23A"
4.59622394337409e-155,0.407631058231035,0.982,0.941,9.49028319827881e-151,"0","RPLP0"
1.20836860659166e-136,0.459348493913971,0.955,0.892,2.49503949889046e-132,"0","UBA52"
6.07386686234672e-133,0.526305888899824,0.904,0.836,1.25413202973735e-128,"0","RPL27A"
7.42726961817795e-133,0.513295147153117,0.925,0.873,1.53358263076138e-128,"0","EEF2"
2.37538225457695e-132,0.400066870532601,0.987,0.961,4.90468927925049e-128,"0","JUND"
1.18118609101569e-122,0.394149572433565,0.979,0.932,2.4389130407292e-118,"0","RPL6"
2.4274989179537e-121,0.451933027962154,0.941,0.885,5.0122997657908e-117,"0","RPS11"
2.3016458457562e-113,0.332446323379822,0.992,0.968,4.7524383423174e-109,"0","EIF1"
1.52563603504267e-112,0.69411248303441,0.762,0.665,3.15013328515611e-108,"0","SNHG29"
3.86778404210104e-110,0.603333351195158,0.802,0.672,7.98620049013022e-106,"0","ZFAS1"
2.09839567896349e-109,0.392080483749965,0.961,0.906,4.33276739792381e-105,"0","RPL37A"
9.73736427547703e-106,0.465603874915832,0.912,0.855,2.0105709756005e-101,"0","RPL4"
2.72833329407657e-105,0.451522976998191,0.918,0.857,5.6334625856093e-101,"0","PFDN5"
4.39074459264092e-104,0.660168218389523,0.815,0.71,9.06600943488497e-100,"0","LY9"
1.46437155021375e-102,0.32523275529002,0.992,0.955,3.02363437688134e-98,"0","RPL18A"
7.99413646813381e-99,0.698578182909823,0.707,0.594,1.65062929794027e-94,"0","GAS5"
9.04043411439941e-99,0.375591916032191,0.959,0.9,1.86666883594119e-94,"0","RPL35"
6.42222518426488e-96,0.331511748818376,0.989,0.946,1.32606105604701e-91,"0","RPS19"
6.61691634358821e-95,0.387618790773971,0.973,0.876,1.36626088662409e-90,"0","CD37"
1.53605995058204e-94,0.358029438094584,0.971,0.914,3.1716565859618e-90,"0","RPL15"
4.98995546835693e-94,0.256463589393336,0.999,0.993,1.03032600510634e-89,"0","B2M"
6.30178689631134e-94,0.487775512235598,0.851,0.79,1.30119295835037e-89,"0","COX7C"
1.51626165112109e-92,0.49026774319393,0.849,0.774,3.13077705723482e-88,"0","BTF3"
3.94605597285848e-92,0.34837865804564,0.971,0.936,8.14781637275818e-88,"0","PNRC1"
8.95456955307835e-90,0.381083213421042,0.913,0.867,1.84893952131962e-85,"0","EEF1D"
4.63205080815147e-89,0.399718705854581,0.941,0.905,9.56425850867115e-85,"0","PABPC1"
4.32016239884991e-84,0.395256471374487,0.906,0.846,8.9202713211453e-80,"0","RPL27"
1.3253179154522e-81,0.390018964237208,0.907,0.773,2.73651643182571e-77,"0","CD69"
5.17569175128983e-80,0.943695671435375,0.474,0.324,1.06867683280632e-75,"0","CD70"
9.64641434797161e-78,0.467661562722817,0.84,0.791,1.99179163456918e-73,"0","SLC25A6"
3.94875851573344e-76,1.02005052367562,0.461,0.322,8.15339658328641e-72,"0","SMIM14"
6.24185623674977e-75,0.615745002797986,0.581,0.421,1.28881847576409e-70,"0","LTB"
3.61080955968537e-74,0.560505161784317,0.731,0.638,7.45559957883835e-70,"0","COMMD6"
1.05113377446601e-71,0.421137232761193,0.851,0.812,2.17038101751742e-67,"0","NPM1"
1.94585588534709e-71,0.400646087165783,0.876,0.824,4.01780323206467e-67,"0","COX4I1"
7.42560545360581e-69,0.522428110689792,0.723,0.609,1.53323901406053e-64,"0","GPR183"
9.26883640405636e-67,0.509297582091738,0.723,0.6,1.91382934070956e-62,"0","CD48"
8.89340352099429e-63,0.556214600903018,0.697,0.65,1.8363099590149e-58,"0","UQCRB"
9.21099711810345e-62,0.270370988945344,0.962,0.848,1.901886684946e-57,"0","CD83"
6.07260170471319e-58,0.439930743697628,0.76,0.713,1.25387079998918e-53,"0","FXYD5"
7.65933640439097e-57,0.355794094100025,0.86,0.816,1.58149978077865e-52,"0","HNRNPA1"
1.05174609971211e-55,0.572023615856142,0.639,0.57,2.17164534668556e-51,"0","NOP53"
3.58842903831976e-55,0.296121341349521,0.917,0.851,7.40938827832265e-51,"0","CXCR4"
5.76401959684523e-54,0.585435214864515,0.271,0.154,1.1901547663566e-49,"0","CCSER1"
1.74113849204852e-51,0.377622888698883,0.888,0.832,3.59510275838178e-47,"0","SAT1"
4.9000691628189e-51,0.296076523717868,0.892,0.859,1.01176628073885e-46,"0","HMGB1"
6.71373041215249e-51,0.645090749191497,0.582,0.51,1.38625105550125e-46,"0","SNHG6"
1.69271125387205e-49,0.253694983188092,0.977,0.955,3.495110196995e-45,"0","EZR"
1.3553579247757e-48,0.437236633354104,0.719,0.636,2.79854304307688e-44,"0","NR4A2"
2.55131515352749e-48,0.366340328515941,0.809,0.765,5.26795552900356e-44,"0","RPL23"
3.9974328791082e-41,0.474506269059161,0.676,0.639,8.25389940878261e-37,"0","SNRPD2"
1.14850676971228e-40,0.511315043534542,0.667,0.634,2.37143677810192e-36,"0","EIF4B"
2.78813837751867e-37,0.367269021172956,0.771,0.761,5.75694812190055e-33,"0","YPEL5"
8.10772420395325e-36,0.474144870897807,0.66,0.641,1.67408289363227e-31,"0","EIF3K"
8.1952565843217e-36,0.516278585048267,0.619,0.591,1.69215657953074e-31,"0","EIF3H"
1.25987791106625e-35,0.290990001323676,0.853,0.828,2.6013959107696e-31,"0","JUNB"
1.96478403869574e-34,0.528103609008086,0.603,0.548,4.05688608309897e-30,"0","CREM"
