"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.94875851573344e-76,1.02005052367562,0.461,0.322,8.15339658328641e-72,"0","SMIM14"
5.17569175128983e-80,0.943695671435375,0.474,0.324,1.06867683280632e-75,"0","CD70"
5.03551899628276e-33,0.82297289828833,0.352,0.268,1.03973396235246e-28,"0","TNFSF9"
1.11617822495556e-30,0.756656098249685,0.358,0.275,2.30468479888824e-26,"0","TNFRSF13B"
8.72428605716036e-22,0.747427394654964,0.312,0.251,1.80139058508247e-17,"0","RGS19"
0,0.737293298884905,0.991,0.946,0,"0","RPS3"
1.03259719980821e-320,0.708940044491011,0.975,0.905,2.13210669816398e-316,"0","EEF1B2"
2.56947798777808e-177,0.701800789794576,0.876,0.771,5.30545814916418e-173,"0","TOMM7"
0,0.701222184100998,0.996,0.965,0,"0","RPS12"
7.99413646813381e-99,0.698578182909823,0.707,0.594,1.65062929794027e-94,"0","GAS5"
5.4822422633202e-223,1.59296069026533,0.285,0.067,1.13197338253036e-218,"1","ZNF804A"
1.38442461281065e-155,1.54174323931732,0.265,0.08,2.85855994053143e-151,"1","IL2RA"
9.50525441439383e-125,1.48837151246035,0.305,0.124,1.96264493148404e-120,"1","CDK2AP1"
3.38136344144781e-311,1.48418977980891,0.598,0.226,6.98183923390145e-307,"1","LINC01857"
1.14413019211735e-189,1.42417813311643,0.423,0.166,2.36240002068391e-185,"1","HCST"
8.03567878345333e-210,1.3519359787107,0.311,0.084,1.65920695520744e-205,"1","TFEC"
1.21058130335953e-106,1.30505551202552,0.257,0.097,2.49960827517676e-102,"1","NCR3"
6.94973581530419e-152,1.23521610216243,0.396,0.166,1.43498145114401e-147,"1","COL9A3"
5.24111833401361e-292,1.15291846757958,0.824,0.478,1.08218611360713e-287,"1","RGCC"
1.41143348327386e-88,1.02566301724724,0.253,0.105,2.91432785626387e-84,"1","PTPN12"
0,4.10222343994529,0.359,0.039,0,"2","HOPX"
0,1.9952739863229,0.656,0.23,0,"2","PDE4D"
9.76386499974594e-140,1.98869208362375,0.266,0.08,2.01604284514754e-135,"2","LYPLAL1"
3.38664504329623e-121,1.85549662429261,0.312,0.121,6.99274468539805e-117,"2","SCPEP1"
1.73353782922449e-124,1.84948647904662,0.264,0.084,3.57940890978273e-120,"2","SCIMP"
