celltype,count,min,median,mean,max
NAIVE 2,1776,0.0,0.033268575,0.03981593,0.37857905
IgD-ve Memory,3040,0.00578479,0.03869749,0.041892264,0.19630772
HSP+,561,0.015898958,0.044764563,0.063642524,0.79942364
IgD+ve Memory,2708,0.010721957,0.046006024,0.048783533,0.9082866
NAIVE 1,1943,0.011926572,0.046418175,0.050533656,0.46448076
Early-Activation,279,0.019673033,0.050610226,0.051907852,0.17943753
Transitional,189,0.033649545,0.1179941,0.11930272,0.502652
DN2,597,0.017332895,0.18358815,0.16213723,0.23729227
Cell-Cycling,322,0.014623809,0.4048413,0.4328553,0.7393769
ASC 1,175,0.031701457,0.76177484,0.72880906,0.88343585
ASC 2,1618,0.12967707,0.78616107,0.7705993,1.0
ASC 3,221,0.51796806,0.80830854,0.79527724,0.986191
