,Transitional,NAIVE 1,NAIVE 2,Early-Activation,IgD+ve Memory,IgD-ve Memory,HSP+,DN2,ASC 1,ASC 2,ASC 3,Cell-Cycling
Transitional,0.0,0.14512106952920129,0.9426010832260832,0.01591568527052398,0.04263381866779208,0.3388784461152882,0.29286563110092523,0.7326413815107282,0.012687074829931973,0.019210960032962503,0.0,0.23443507837917776
NAIVE 1,0.14512106952920129,0.0,0.3159255417924358,0.3119531652084406,0.4519528259608594,0.4575813014668039,0.4515685678192112,0.2271819726527646,0.01727740607308286,0.016150850856327458,0.0009772288502874922,0.08115551765694978
NAIVE 2,0.9426010832260832,0.3159255417924358,0.0,0.08807396105783204,0.17816626287476545,0.5683820873710882,0.1507782013296719,0.4329735671601249,0.006750723938223938,0.010222047990512144,0.0032073575272104685,0.09392311566224609
Early-Activation,0.01591568527052398,0.3119531652084406,0.08807396105783204,0.0,0.4359916257683328,0.5348219970288625,0.6541601978034616,0.14360106986545632,0.0,0.0009295625822401211,0.0,0.004670907633740734
IgD+ve Memory,0.04263381866779208,0.4519528259608594,0.17816626287476545,0.4359916257683328,0.0,0.8096531111521418,0.34582322925141584,0.2473610203899854,0.04604452416121545,0.005171635843437838,0.0,0.07651629746690275
IgD-ve Memory,0.3388784461152882,0.4575813014668039,0.5683820873710882,0.5348219970288625,0.8096531111521418,0.0,0.5600117858148044,0.14635823029621792,0.023663063909774434,0.0027299785309999347,0.0,0.04586862025988885
HSP+,0.29286563110092523,0.4515685678192112,0.1507782013296719,0.6541601978034616,0.34582322925141584,0.5600117858148044,0.0,0.31197766909413377,0.1709702062643239,0.01941642484614927,0.0,0.02555261234928754
DN2,0.7326413815107282,0.2271819726527646,0.4329735671601249,0.14360106986545632,0.2473610203899854,0.14635823029621792,0.31197766909413377,0.0,0.08434673366834171,0.0013032560826381598,0.0,0.1615335996753956
ASC 1,0.012687074829931973,0.01727740607308286,0.006750723938223938,0.0,0.04604452416121545,0.023663063909774434,0.1709702062643239,0.08434673366834171,0.0,1.0,0.9656528765352295,0.029787045252883764
ASC 2,0.019210960032962503,0.016150850856327458,0.010222047990512144,0.0009295625822401211,0.005171635843437838,0.0027299785309999347,0.01941642484614927,0.0013032560826381598,1.0,0.0,1.0,0.1143708396993451
ASC 3,0.0,0.0009772288502874922,0.0032073575272104685,0.0,0.0,0.0,0.0,0.0,0.9656528765352295,1.0,0.0,0.005896756695989433
Cell-Cycling,0.23443507837917776,0.08115551765694978,0.09392311566224609,0.004670907633740734,0.07651629746690275,0.04586862025988885,0.02555261234928754,0.1615335996753956,0.029787045252883764,0.1143708396993451,0.005896756695989433,0.0
