source,target,paga_weight
ASC 1,ASC 2,1.0
ASC 2,ASC 3,1.0
ASC 1,ASC 3,0.9656528765352295
Transitional,NAIVE 2,0.9426010832260832
IgD+ve Memory,IgD-ve Memory,0.8096531111521418
Transitional,DN2,0.7326413815107282
Early-Activation,HSP+,0.6541601978034616
NAIVE 2,IgD-ve Memory,0.5683820873710882
IgD-ve Memory,HSP+,0.5600117858148044
Early-Activation,IgD-ve Memory,0.5348219970288625
NAIVE 1,IgD-ve Memory,0.4575813014668039
NAIVE 1,IgD+ve Memory,0.4519528259608594
NAIVE 1,HSP+,0.4515685678192112
Early-Activation,IgD+ve Memory,0.4359916257683328
NAIVE 2,DN2,0.4329735671601249
IgD+ve Memory,HSP+,0.34582322925141584
Transitional,IgD-ve Memory,0.3388784461152882
NAIVE 1,NAIVE 2,0.3159255417924358
HSP+,DN2,0.31197766909413377
NAIVE 1,Early-Activation,0.3119531652084406
Transitional,HSP+,0.29286563110092523
IgD+ve Memory,DN2,0.2473610203899854
Transitional,Cell-Cycling,0.23443507837917776
NAIVE 1,DN2,0.2271819726527646
NAIVE 2,IgD+ve Memory,0.17816626287476545
HSP+,ASC 1,0.1709702062643239
DN2,Cell-Cycling,0.1615335996753956
NAIVE 2,HSP+,0.1507782013296719
IgD-ve Memory,DN2,0.14635823029621792
Transitional,NAIVE 1,0.14512106952920129
Early-Activation,DN2,0.14360106986545632
ASC 2,Cell-Cycling,0.1143708396993451
NAIVE 2,Cell-Cycling,0.09392311566224609
NAIVE 2,Early-Activation,0.08807396105783204
DN2,ASC 1,0.08434673366834171
NAIVE 1,Cell-Cycling,0.08115551765694978
IgD+ve Memory,Cell-Cycling,0.07651629746690275
IgD+ve Memory,ASC 1,0.04604452416121545
IgD-ve Memory,Cell-Cycling,0.04586862025988885
Transitional,IgD+ve Memory,0.04263381866779208
ASC 1,Cell-Cycling,0.029787045252883764
HSP+,Cell-Cycling,0.02555261234928754
IgD-ve Memory,ASC 1,0.023663063909774434
HSP+,ASC 2,0.01941642484614927
Transitional,ASC 2,0.019210960032962503
NAIVE 1,ASC 1,0.01727740607308286
NAIVE 1,ASC 2,0.016150850856327458
Transitional,Early-Activation,0.01591568527052398
Transitional,ASC 1,0.012687074829931973
NAIVE 2,ASC 2,0.010222047990512144
NAIVE 2,ASC 1,0.006750723938223938
ASC 3,Cell-Cycling,0.005896756695989433
IgD+ve Memory,ASC 2,0.005171635843437838
Early-Activation,Cell-Cycling,0.004670907633740734
NAIVE 2,ASC 3,0.0032073575272104685
IgD-ve Memory,ASC 2,0.0027299785309999347
DN2,ASC 2,0.0013032560826381598
NAIVE 1,ASC 3,0.0009772288502874922
Early-Activation,ASC 2,0.0009295625822401211
