celltype,umap_1,umap_2
Transitional,-1.9221383690263472,3.5685234888394297
NAIVE 1,1.827798450050191,-2.247875131766039
NAIVE 2,-0.15141222471253485,1.3201365097363413
Early-Activation,6.375985229072407,0.2963441534836711
IgD+ve Memory,4.354148709831074,-0.9925742522875844
IgD-ve Memory,2.8040130973432817,0.9452505036194743
HSP+,0.6516869903181353,-1.1327972785632192
DN2,-3.4192959427262983,0.0750214884926499
ASC 1,-10.423479950370952,-0.1737124101321278
ASC 2,-11.634224331321878,1.414037071069044
ASC 3,-11.78378955120103,1.5157729013760508
Cell-Cycling,-1.005948087515994,-6.910023607413011
