source,target,paga_weight
Transitional,NAIVE 1,0.14512106952920129
Transitional,NAIVE 2,0.9426010832260832
Transitional,IgD+ve Memory,0.04263381866779208
Transitional,IgD-ve Memory,0.3388784461152882
Transitional,HSP+,0.29286563110092523
Transitional,DN2,0.7326413815107282
Transitional,Cell-Cycling,0.23443507837917776
NAIVE 1,NAIVE 2,0.3159255417924358
NAIVE 1,Early-Activation,0.3119531652084406
NAIVE 1,IgD+ve Memory,0.4519528259608594
NAIVE 1,IgD-ve Memory,0.4575813014668039
NAIVE 1,HSP+,0.4515685678192112
NAIVE 1,DN2,0.2271819726527646
NAIVE 1,Cell-Cycling,0.08115551765694978
NAIVE 2,Early-Activation,0.08807396105783204
NAIVE 2,IgD+ve Memory,0.17816626287476545
NAIVE 2,IgD-ve Memory,0.5683820873710882
NAIVE 2,HSP+,0.1507782013296719
NAIVE 2,DN2,0.4329735671601249
NAIVE 2,Cell-Cycling,0.09392311566224609
Early-Activation,IgD+ve Memory,0.4359916257683328
Early-Activation,IgD-ve Memory,0.5348219970288625
Early-Activation,HSP+,0.6541601978034616
Early-Activation,DN2,0.14360106986545632
IgD+ve Memory,IgD-ve Memory,0.8096531111521418
IgD+ve Memory,HSP+,0.34582322925141584
IgD+ve Memory,DN2,0.2473610203899854
IgD+ve Memory,ASC 1,0.04604452416121545
IgD+ve Memory,Cell-Cycling,0.07651629746690275
IgD-ve Memory,HSP+,0.5600117858148044
IgD-ve Memory,DN2,0.14635823029621792
IgD-ve Memory,Cell-Cycling,0.04586862025988885
HSP+,DN2,0.31197766909413377
HSP+,ASC 1,0.1709702062643239
DN2,ASC 1,0.08434673366834171
DN2,Cell-Cycling,0.1615335996753956
ASC 1,ASC 2,1.0
ASC 1,ASC 3,0.9656528765352295
ASC 2,ASC 3,1.0
ASC 2,Cell-Cycling,0.1143708396993451
