celltype_plot,UMAP_1,UMAP_2,n
Transitional,-1.9221383690263472,3.5685234888394297,189
NAIVE 1,1.827798450050191,-2.247875131766039,1943
NAIVE 2,-0.1514122247125349,1.3201365097363413,1776
Early-Activation,6.375985229072407,0.2963441534836711,279
IgD+ve Memory,4.354148709831074,-0.9925742522875844,2708
IgD-ve Memory,2.8040130973432817,0.9452505036194743,3040
HSP+,0.6516869903181353,-1.1327972785632192,561
DN2,-3.4192959427262983,0.07502148849264995,597
ASC 1,-10.423479950370952,-0.17371241013212785,175
ASC 2,-11.63422433132188,1.414037071069044,1618
ASC 3,-11.78378955120103,1.5157729013760508,221
Cell-Cycling,-1.005948087515994,-6.910023607413011,322
