gene,is_receptor_gene
HSPA6,FALSE
AC233755.2,FALSE
AC233755.1,FALSE
CXCL10,FALSE
AC141272.1,FALSE
DNAAF1,FALSE
CCL3,FALSE
IGHGP,FALSE
LGALSL,FALSE
HSPA1A,FALSE
RRAD,FALSE
RRM2,FALSE
LINC01485,FALSE
APOBEC3A,FALSE
MT2A,FALSE
G0S2,FALSE
CCL4,FALSE
CCN2,FALSE
FBXL22,FALSE
FGL2,FALSE
KCNMA1,FALSE
HIST1H3B,FALSE
HIST1H1B,FALSE
TYROBP,FALSE
RGS13,FALSE
AC135068.2,FALSE
GADD45A,FALSE
HSPA1B,FALSE
HSPB1,FALSE
MT1X,FALSE
AL450992.3,FALSE
RASD1,FALSE
LINC01480,FALSE
GADD45G,FALSE
ODAPH,FALSE
CHAC1,FALSE
CST3,FALSE
MYBL2,FALSE
UBE2C,FALSE
HMGB2,FALSE
AQP3,FALSE
PPP1R2C,FALSE
MKI67,FALSE
STMN1,FALSE
CNTN5,FALSE
SOX4,FALSE
TYMS,FALSE
RASL11A,FALSE
IGLL1,FALSE
AP002852.1,FALSE
PCLAF,FALSE
TCL1A,FALSE
DNAJB1,FALSE
TIMP1,FALSE
CENPF,FALSE
CXCL13,FALSE
FN1,FALSE
RAPGEF5,FALSE
AC005355.1,FALSE
EIF4E,FALSE
GLRX,FALSE
ITGA6,FALSE
CDKN1C,FALSE
INSIG1,FALSE
AC023590.1,FALSE
H1F0,FALSE
ANKRD37,FALSE
DUSP5,FALSE
DCC,FALSE
LINC00221,FALSE
HMGB3,FALSE
H1FX,FALSE
CITED2,FALSE
CXCL9,FALSE
DHRS9,FALSE
TEX14,FALSE
AC136616.2,FALSE
PRPSAP2,FALSE
MIR4435-2HG,FALSE
CYTOR,FALSE
AC002072.1,FALSE
FNDC3B,FALSE
GLA,FALSE
LGALS3,FALSE
AL627171.2,FALSE
BFSP2,FALSE
LPP,FALSE
TK1,FALSE
PRDM1,FALSE
DUSP4,FALSE
PLK1,FALSE
