celltype_plot,n,min_pt,q25_pt,median_pt,mean_pt,q75_pt,max_pt
Transitional,189,0,0,0,0.004147818552895571,0,0.093181522168338915
DN2,597,0,0.029103698403799064,0.06758542727569018,0.1013124660669511,0.13752469844367535,0.5083573925252326
NAIVE 2,1776,0,0.029383323103966588,0.07855330091826107,0.09330714930351176,0.13219061802795307,0.5083573925252326
IgD-ve Memory,3040,0,0.0944711923853683,0.1460946830908051,0.15033351650504992,0.19905021393149572,0.4799231515573352
HSP+,561,0,0.11179589198589561,0.16469232893921942,0.17508996812851269,0.22867144895124517,0.4922036344306958
NAIVE 1,1943,0,0.144182765506185,0.22167609174541347,0.24248979298957415,0.32723362890678975,0.6093330994227208
IgD+ve Memory,2708,8.673509180539045e-4,0.16606211536995028,0.23050129617052967,0.25460344426371523,0.3347515558282189,0.5945532949473777
ASC 1,175,0.03714880194728315,0.16570984581816484,0.24390202077454226,0.34184719376842027,0.6136594303938706,0.8120084865951426
Early-Activation,279,0.05295409831804308,0.2021211003291773,0.2565774169467312,0.26406439330757964,0.30976006518400134,0.5844680207326123
Cell-Cycling,322,0,0.3505013875783596,0.4922036344306958,0.45750168810079644,0.533289609192482,1
ASC 2,1618,0.002873700547860425,0.7255471840516372,0.8363822017916651,0.7717403975580273,0.909219116346383,1
ASC 3,221,0.05731892574161501,0.7959475133252778,0.8739411910014778,0.8323129495710488,0.953159006180471,1
