gene_id,gene_short_name,num_cells_expressed,is_receptor_gene
IGKV3OR2-268,IGKV3OR2-268,231,TRUE
IGKC,IGKC,8587,TRUE
IGKJ4,IGKJ4,10,TRUE
IGKJ1,IGKJ1,17,TRUE
IGKV4-1,IGKV4-1,8831,TRUE
IGKV5-2,IGKV5-2,124,TRUE
IGKV7-3,IGKV7-3,42,TRUE
IGKV2-4,IGKV2-4,57,TRUE
IGKV1-5,IGKV1-5,7692,TRUE
IGKV1-6,IGKV1-6,992,TRUE
IGKV3-7,IGKV3-7,163,TRUE
IGKV1-8,IGKV1-8,515,TRUE
IGKV1-9,IGKV1-9,3215,TRUE
IGKV3-11,IGKV3-11,6745,TRUE
IGKV1-12,IGKV1-12,678,TRUE
IGKV1-13,IGKV1-13,146,TRUE
IGKV3-15,IGKV3-15,7707,TRUE
IGKV1-16,IGKV1-16,2307,TRUE
IGKV1-17,IGKV1-17,2751,TRUE
IGKV2-18,IGKV2-18,47,TRUE
IGKV3-20,IGKV3-20,7925,TRUE
IGKV6-21,IGKV6-21,94,TRUE
IGKV2-24,IGKV2-24,230,TRUE
IGKV2-26,IGKV2-26,99,TRUE
IGKV1-27,IGKV1-27,1426,TRUE
IGKV2-28,IGKV2-28,252,TRUE
IGKV2-29,IGKV2-29,220,TRUE
IGKV2-30,IGKV2-30,2400,TRUE
IGKV1-33,IGKV1-33,110,TRUE
IGKV1-37,IGKV1-37,56,TRUE
IGKV1-39,IGKV1-39,688,TRUE
IGKV2-40,IGKV2-40,15,TRUE
IGKV2D-40,IGKV2D-40,69,TRUE
IGKV1D-39,IGKV1D-39,633,TRUE
IGKV1D-37,IGKV1D-37,30,TRUE
IGKV1D-33,IGKV1D-33,171,TRUE
IGKV2D-30,IGKV2D-30,149,TRUE
IGKV2D-29,IGKV2D-29,260,TRUE
IGKV2D-28,IGKV2D-28,421,TRUE
IGKV1D-27,IGKV1D-27,177,TRUE
IGKV2D-26,IGKV2D-26,26,TRUE
IGKV2D-24,IGKV2D-24,29,TRUE
IGKV6D-21,IGKV6D-21,11,TRUE
IGKV3D-20,IGKV3D-20,1016,TRUE
IGKV2D-18,IGKV2D-18,14,TRUE
IGKV1D-17,IGKV1D-17,88,TRUE
IGKV1D-16,IGKV1D-16,203,TRUE
IGKV3D-15,IGKV3D-15,320,TRUE
IGKV1D-13,IGKV1D-13,105,TRUE
IGKV1D-12,IGKV1D-12,366,TRUE
IGKV3D-11,IGKV3D-11,930,TRUE
IGKV1D-42,IGKV1D-42,12,TRUE
IGKV1D-43,IGKV1D-43,100,TRUE
IGKV1D-8,IGKV1D-8,548,TRUE
IGKV3D-7,IGKV3D-7,24,TRUE
IGKV1OR2-1,IGKV1OR2-1,11,TRUE
IGKV1OR2-3,IGKV1OR2-3,18,TRUE
IGKV1OR2-6,IGKV1OR2-6,13,TRUE
IGKV1OR2-108,IGKV1OR2-108,135,TRUE
TRGV5,TRGV5,39,TRUE
TRGV3,TRGV3,99,TRUE
TRBV21-1,TRBV21-1,12,TRUE
TRBV29-1,TRBV29-1,24,TRUE
TRBC1,TRBC1,110,TRUE
TRBJ2-1,TRBJ2-1,24,TRUE
TRBJ2-2P,TRBJ2-2P,40,TRUE
TRBJ2-3,TRBJ2-3,284,TRUE
TRBJ2-4,TRBJ2-4,97,TRUE
TRBJ2-5,TRBJ2-5,24,TRUE
TRBJ2-6,TRBJ2-6,57,TRUE
TRBJ2-7,TRBJ2-7,16,TRUE
TRBC2,TRBC2,3470,TRUE
IGKV1OR-2,IGKV1OR-2,28,TRUE
IGKV1OR9-1,IGKV1OR9-1,11,TRUE
IGKV1OR-3,IGKV1OR-3,13,TRUE
TRAV38-2DV8,TRAV38-2DV8,45,TRUE
TRAJ49,TRAJ49,14,TRUE
TRAJ10,TRAJ10,11,TRUE
TRAC,TRAC,366,TRUE
IGHA2,IGHA2,1160,TRUE
IGHE,IGHE,415,TRUE
IGHG4,IGHG4,1480,TRUE
IGHG2,IGHG2,2761,TRUE
IGHA1,IGHA1,5242,TRUE
IGHG1,IGHG1,4618,TRUE
IGHG3,IGHG3,4043,TRUE
IGHD,IGHD,1193,TRUE
IGHM,IGHM,7245,TRUE
IGHJ6,IGHJ6,66,TRUE
IGHJ3P,IGHJ3P,39,TRUE
IGHJ5,IGHJ5,80,TRUE
IGHJ4,IGHJ4,10,TRUE
IGHJ3,IGHJ3,50,TRUE
IGHJ2P,IGHJ2P,11,TRUE
IGHV6-1,IGHV6-1,496,TRUE
IGHV1-2,IGHV1-2,3075,TRUE
IGHV1-3,IGHV1-3,884,TRUE
IGHV4-4,IGHV4-4,458,TRUE
IGHV7-4-1,IGHV7-4-1,3997,TRUE
IGHV2-5,IGHV2-5,717,TRUE
IGHV3-7,IGHV3-7,2706,TRUE
IGHV3-64D,IGHV3-64D,117,TRUE
IGHV5-10-1,IGHV5-10-1,45,TRUE
IGHV3-11,IGHV3-11,2147,TRUE
IGHVIII-11-1,IGHVIII-11-1,10,TRUE
IGHV1-12,IGHV1-12,76,TRUE
IGHV3-13,IGHV3-13,447,TRUE
IGHV1-14,IGHV1-14,87,TRUE
IGHV3-15,IGHV3-15,632,TRUE
IGHV3-16,IGHV3-16,68,TRUE
IGHV1-17,IGHV1-17,57,TRUE
IGHV1-18,IGHV1-18,3328,TRUE
IGHV3-19,IGHV3-19,23,TRUE
IGHV3-20,IGHV3-20,715,TRUE
IGHV3-21,IGHV3-21,2813,TRUE
IGHV3-22,IGHV3-22,52,TRUE
IGHV3-23,IGHV3-23,2522,TRUE
IGHV1-24,IGHV1-24,373,TRUE
IGHV2-26,IGHV2-26,237,TRUE
IGHV7-27,IGHV7-27,18,TRUE
IGHV4-28,IGHV4-28,1098,TRUE
IGHV3-30,IGHV3-30,4436,TRUE
IGHV4-31,IGHV4-31,2568,TRUE
IGHV3-33,IGHV3-33,1581,TRUE
IGHV4-34,IGHV4-34,4111,TRUE
IGHV3-35,IGHV3-35,36,TRUE
IGHV3-38,IGHV3-38,59,TRUE
IGHV4-39,IGHV4-39,2280,TRUE
IGHV3-41,IGHV3-41,180,TRUE
IGHV3-43,IGHV3-43,668,TRUE
IGHV1-45,IGHV1-45,16,TRUE
IGHV1-46,IGHV1-46,2419,TRUE
IGHV3-47,IGHV3-47,12,TRUE
IGHV3-48,IGHV3-48,1317,TRUE
IGHV3-49,IGHV3-49,514,TRUE
IGHV5-51,IGHV5-51,2079,TRUE
IGHV3-52,IGHV3-52,60,TRUE
IGHV3-53,IGHV3-53,853,TRUE
IGHV4-55,IGHV4-55,755,TRUE
IGHV1-58,IGHV1-58,89,TRUE
IGHV4-59,IGHV4-59,1502,TRUE
IGHV3-60,IGHV3-60,40,TRUE
IGHV4-61,IGHV4-61,2359,TRUE
IGHV3-62,IGHV3-62,57,TRUE
IGHV3-64,IGHV3-64,558,TRUE
IGHV3-65,IGHV3-65,23,TRUE
IGHV3-66,IGHV3-66,420,TRUE
IGHV1-67,IGHV1-67,45,TRUE
IGHV1-69,IGHV1-69,753,TRUE
IGHV2-70D,IGHV2-70D,59,TRUE
IGHV3-69-1,IGHV3-69-1,270,TRUE
IGHV1-69-2,IGHV1-69-2,382,TRUE
IGHV1-69D,IGHV1-69D,611,TRUE
IGHV2-70,IGHV2-70,14,TRUE
IGHV3-71,IGHV3-71,126,TRUE
IGHV3-72,IGHV3-72,217,TRUE
IGHV3-73,IGHV3-73,303,TRUE
IGHV3-74,IGHV3-74,2174,TRUE
IGHV3-75,IGHV3-75,11,TRUE
IGHV5-78,IGHV5-78,1110,TRUE
IGHV4-80,IGHV4-80,30,TRUE
IGHV7-81,IGHV7-81,47,TRUE
IGHV1OR15-9,IGHV1OR15-9,30,TRUE
IGHV1OR15-2,IGHV1OR15-2,58,TRUE
IGHV3OR15-7,IGHV3OR15-7,193,TRUE
